,churn,chat_log
12,no,"Klient: Głos.
Agent TelCom: ok. Cześć Michael, ile masz lat?
Klient: 20.
Agent TelCom: ok, więc proszę przejść przez następujące pytania, a chętnie ci pomogę. Zaloguj się na mojej stronie internetowej i proszę spojrzeć na swoje dane, ponieważ tam będziemy komunikować kolejne kroki.
Klient: Ok. Używam TelCom od nieco ponad 1 roku, ale nigdy wcześniej nie słyszałem o żadnym z ich problemów.
Agent TelCom: Przykro mi, Michael, ale nie mogę ujawnić żadnych szczegółów dotyczących klienta"
13,no,"Klient: Cóż, chodzi o głos- ...
TelCom Agent: O czym ty mówisz?
Klient: Cóż, chcę uaktualnić i uzyskać więcej danych z tego samego standardowego planu, który mam obecnie. Więc...
TelCom Agent: Ile danych masz obecnie w swoim planie?
Klient: Około 3 GB, lokalny i roaming?
Agent TelCom: W porządku. Chcesz aktywować nasze nowe plany połączeń głosowych i telefonicznych?
Klient: W porządku.
Agent TelCom: Telcom, jak się pan dzisiaj miewa?
Klient: Jestem dobry. Chciałem tylko pozwolić"
14,no,"Klient: Wszystkie powyższe.
TelCom Agent: Tak, to jest dokładnie to, co mi oferują. Zamierzam tylko sprawdzić, czy otrzymałeś aktualizację, a jeśli tak, możesz usiąść i zrelaksować się.
Klient: Tak, otrzymałem uaktualnienie.
TelCom Agent: A czy jesteś zadowolony z nowej ceny?
Klient: Tak, jestem. Jestem zadowolony z nowej ceny.
Agent TelCom: Dobra, kochanie, pozwól, że przedstawię ci to z perspektywy. Dzięki umowie na modernizację oszczędzasz ponad trzy razy więcej pieniędzy rocznie. A jeśli chcesz dodać"
15,yes,"Klient: Cóż, myślę, że to za zbyt złą obsługę. Miałem ""ogromną"" liczbę telefonów, a obsługa klienta jest bardzo słaba. Wiem, że to biznes, ale wiesz, że to brzmi, jakbyście byli w stanie dać mi lepsze doświadczenie.
Agent TelCom: Och, przepraszam, nie, nie, bardzo nam przykro to słyszeć. Nie wiem jednak, czy mogę ci w tym pomóc.
Klient: Powiedziawszy to, chciałbym anulować umowę.
Agent TelCom: Och, nie martw się. Bardzo dobrze to słyszeć. Cieszę się, że podoba Ci się nasza usługa i produkt. Teraz"
16,no,"Klient: Chcę uaktualnić dane.
Agent TelCom: W porządku, to dobrze. Czy będzie można go uaktualnić?
Klient: To będzie tylko na jeden miesiąc.
Agent telekomunikacyjny: Przepraszam, czy możecie dostarczyć mi kopię swojej obecnej umowy, aby sprawdzić, czy przejdziecie na nową umowę?
Klient: Nie mogę.
TelCom Agent: Przepraszam, czy możesz mi dostarczyć kopię swojej obecnej umowy?
Klient: Tak, mogę.
Agent TelCom: W porządku, dzięki. Czy mogę prosić o kopię aktualnej umowy?
"
17,no,"Klient: Chcę uaktualnić mój pakiet głosowy i tekstowy oraz chciałbym mieć możliwość uaktualnienia do danych.
TelCom Agent: Cóż, mamy dziś do dyspozycji szereg aktualizacji, z których następujące są podstawowe. Jeśli chodzi o głos i tekst, skontaktujecie się ze sobą. Jeśli chodzi o dane, obecnie oferujemy tylko opcję transmisji danych 3G.
Klient: Okej, dziękuję bardzo. A jak długo potrwa przetworzenie uaktualnienia?
Agent TelCom: Otrzymanie aktualizacji zajmuje tylko cztery dni, a jak wspomniałem wcześniej, w większości przypadków zajmuje to tylko cztery dni.
"
18,no,"Klient: Chcę uaktualnić usługi głosowe i tekstowe.
TelCom Agent: Świetnie, wygląda na to, że działa dla ciebie. Zalecamy najpierw wprowadzenie zmian w usłudze głosowej, a następnie uaktualnienie usługi Telefon. Mamy pełną linię telefonów Telcom i Level3 oraz szereg różnych planów, które oferujemy, w tym bezpłatną cenę wstępną dla każdego nowego telefonu Telcom i Level3. Tel-Com wprowadził również nowy plan działania o nazwie Tel-Com Signature, który oferuje ludziom możliwość natychmiastowej aktualizacji już za 10 USD miesięcznie, jeśli zdecydują się to zrobić. Sprawdź nasz Tel-Com"
19,no,"Klient: To głos i tekst.
Agent telekomunikacyjny: Świetnie, pozwól, że zadzwonię do naszego operatora sieci i ustawię to dla ciebie. Więc rezerwujesz uaktualnienie głosowe?
Klient: Tak.
TelCom Agent: Nie możesz teraz skontaktować się z operatorem sieci, czy to w porządku?
Klient: Nie, w porządku. Czy chcesz zaplanować uaktualnienie głosu na inny dzień?
TelCom Agent: Nie, nie zaplanujemy tego na inny dzień, OK? No dobrze, jak masz na imię?
Klient: Michael.
Agent TelCom: Cześć Michael, to"
20,no,Nan
21,yes,"Klient: Więc usługa była zbyt wolna, a miesięczne opłaty są szalone. Płacę 300 USD miesięcznie i tylko 40 GB.
TelCom Agent: Czy możesz mi powiedzieć, ile danych wykorzystałeś w tym miesiącu?
Klient: Tak, tak, w tym miesiącu użyłem, och, 5 GB.
Agent TelCom: Dobra, dziękuję Joelowi. Teraz, jeśli anuluję twoją umowę, wyślę ci za to rabat.
Klient: W porządku.
TelCom Agent: A co byś teraz zrobił, gdybyś anulował umowę""?
Klient: Myślę, że po prostu to przeczekam.
TelCom Agent: Świetnie. Studnia"
22,no,Nan
23,no,"Klient: Lubię pocztę głosową i tekst.
TelCom Agent: Doskonale. Czy to jest powód, dla którego starasz się o nowy kontrakt?
Klient: Myślę, że po prostu działało mi na nerwy, nie mogąc z kimś porozmawiać, jeśli jest poza domem.
TelCom Agent: Doskonale. Skoro żałujesz, że nie możesz porozmawiać z prawdziwą osobą, dlaczego nie poprosisz jej, aby do ciebie zadzwoniła i zostawiła wiadomość?
Klient: Tak, to świetnie. Dzięki. Sprawdzę to.
TelCom Agent: Doskonale. Jeśli chcesz skorzystać"
24,no,Nan
25,no,"Klient: Och, mogę przełączyć się na tekst, chciałbym tego.
TelCom Agent: Spróbuj ponownie później.
Klient: OK, mogę przełączyć się na tekst. Muszę wiedzieć, ile moje... Czy mogę zmienić prędkość, na którą go używam, na 8.1Kbps?
Agent TelCom: Tak, proszę, zrób to Stanley.
Agent TelCom: Opłata aktywacyjna wynosi 10 USD, jeśli nie wyślesz wiadomości tekstowej.
Klient: Nie mam problemów z 10.5Kbps, to $ 20 miesięcznie.
Agent TelCom: Stanley, czy mogę cię zapytać, co to jest"
26,no,Nan
27,no,"Klient: Chciałbym uaktualnić do najszybszej usługi za największe pieniądze i chciałbym uaktualnić głos i aktualizację tekstową, za którą mogę zapłacić za pomocą mojego TRS.
TelCom Agent: Świetnie! Jakieś wskazówki dla mnie, aby ci pomóc?
Klient: Tak, chcę, żebyś zaczął od powiedzenia mi, co muszę zrobić, aby uaktualnić moją usługę. Mam telefon alarmowy 911 dla mojego właściciela, a także pogotowie medyczne, które nie odbiera połączenia. Muszę więc utrzymywać obie te liczby aktywne i dostępne. Chcę otrzymać połączenie alarmowe 911 przez TelCom i SMS-a. Wiem, że tak nie jest"
28,no,Nan
29,no,"Klient: Zastanawiam się nad uaktualnieniem mojej usługi do wielu urządzeń.
TelCom Agent: Czy możesz mi powiedzieć, do czego chciałbyś uaktualnić?
Klient: Chciałbym uaktualnić do wszystkich urządzeń.
TelCom Agent: Wszystkie urządzenia co?
Klient: Poprzedni dostawca miał to jedno urządzenie i miało wiele funkcji i kosztowałoby mnie o wiele więcej. Szukałem urządzenia lepszej jakości i to było to, którego szukałem.
TelCom Agent: Czy możesz mi teraz powiedzieć, na które urządzenie patrzysz?
Klient: Patrzę na Verizon Wireless"
30,no,"Klient: Głos
TelCom Agent: Świetnie, więc teraz musimy przejść przez ten proces. Co chciałbyś zrobić najpierw?
Klient: Ulepsz miesięczny pakiet i dodaj do niego 60 USD
Agent TelCom: Dziękuję Essie. A co chciałbyś robić?
Klient: Głos + Tekst + Dane
TelCom Agent: OK, więc mamy to pokryte. Co chciałeś teraz zrobić?
Klient: Wyrejestruj moje konto Telcom, abym mógł wrócić do korzystania ze starego konta Telcom z tym samym numerem telefonu
TelCom Agent: Dziękuję Ess"
31,no,"Klient: Moje dwie opcje to głos i tekst.
Agent TelCom: Rzeczywiście, mogę to zrobić. Ile to kosztuje?
Klient: 5,73 € miesięcznie + VAT (lub około 6,12 USD) miesięcznie + 100 € opłaty instalacyjnej.
TelCom Agent: Jak to brzmi. Chętnie pomogę Ci dalej.
Klient: I to wszystko, co muszę wiedzieć. Dziękuję bardzo od TelCom i mam nadzieję, że usłyszę od ciebie w przyszłości.
Agent telekomunikacyjny: Zadzwoń do mnie pod mój numer. Po prostu podaj mi swoje imię i nazwisko, numer telefonu i"
32,no,"Klient: Czy mógłbyś mi podać 16 cyfr mojego numeru telefonu?
Agent TelCom: 16 cyfr proszę, w tej chwili jest to konto tylko głosowe.
Klient: A jak mogę uzyskać modem? A może wolisz kartę dostępu do Internetu?
Agent telekomunikacyjny: Modem jest teraz dostępny w domu, opłaty za modem w umowie wynoszą 40 USD miesięcznie.
Klient: Dziękuję bardzo, Ernestine. Rozumiem, że jest to numer telefonu tylko głosowy, ale czy mógłbyś uaktualnić go do konta tekstowego i danych?
Agent TelCom: Przepraszam. Nie ma żadnych korzyści"
33,yes,"Klient: Podoba mi się ta usługa od kilku miesięcy, ale po prostu nie mogę dotrzeć do ludzi. Jest poniedziałek rano i powinienem dziś rozmawiać przez telefon ze specjalistą, ale wszystko, do czego mogę dotrzeć, to zajęty sygnał. Próbowałem do nich dzwonić, zostawiając wiadomości i wiadomości tu i tutaj, ale w ogóle nie mogę się dodzwonić. Próbowałem dzwonić do nich z własnego telefonu i dzwonić do nich z mojego telefonu komórkowego, ale sygnał jest również bardzo zły i nie mogę się połączyć z ich numerem. Ludzie, którzy tam pracują, są bardzo mili, mili i właściwie są pomocni, ale kiedy ich odwiedzam"
34,no,Nan
35,no,"Klient: Chciałbym uaktualnić plan transmisji danych do 100 Mb w stosunku do obecnego planu taryfowego 50 Mb.
TelCom Agent: Jak chcesz zapłacić za te dodatkowe dane?
Klient: Chcę zapłacić kartą kredytową.
TelCom Agent: Masz swoją kartę debetową w torebce?
Klient: Tak, schowałem go do naszej torebki.
Agent TelCom: W porządku, widzę to. To jest karta debetowa, czy to prawda?
Klient: Tak, tak.
TelCom Agent: Czy jest coś jeszcze, w czym mogę ci dzisiaj pomóc?"
36,no,Nan
37,no,"Klient: Głos i tekst.
TelCom Agent: Świetnie! Więc w oparciu o informacje, które obecnie mam w moim dzienniku, jaka jest stawka za bezpłatny tekst w Twojej okolicy?
Klient: Nie pamiętam. Czy jest absolutny?
TelCom Agent: Tak, to absolutne, w tej chwili jest bezpłatne.
Klient: W porządku. Nie zdawałem sobie sprawy, że to taka prosta rzecz do zrobienia. Mam teraz świetną liczbę.
TelCom Agent: Świetnie. Dziękuję Michelle. Przejdziesz do TelCom i możesz zostawić wiadomość ze swoim imieniem i nazwiskiem.
Klient: Nie, dziękuję,"
38,no,"Klient: Używam T-Mobile od 4 lat i mam ten sam telefon od 4 lat. Więc szukam telefonu, który jest trochę mocniejszy.
TelCom Agent: Dobra wiadomość. Mam dla ciebie kilka opcji. Mogę uaktualnić twój telefon do T-Mobile ONE, który mam teraz na zlecenie za dodatkową opłatą w wysokości 15 USD za pierwszą linię. Czy możesz nacisnąć przycisk ""1"" w telefonie?
Klient: Tak, to by wystarczyło. Dziękuję bardzo. Rozważałem również modernizację mojej linii"
39,no,"Klient: Nie muszę uaktualniać umowy. Chcę tylko uaktualnić telefon.
TelCom Agent: Świetnie. Mogę więc zacząć od szybkiego sprawdzenia twojego konta. Jest rok 2006. Masz miesięczny rachunek w wysokości 28,00 USD. A twój pierwszy rachunek opiewa na 89,00 USD. Dlatego chcę szybko przyjrzeć się twojemu kontu.
Klient: $ 28.00 / mo dla Internetu i $ 89.00 / mo dla telefonu.
Agent TelCom: Och, wow! Porządku. A gdzie chcesz wysłać fakturę?
Klient: Mam to"
40,no,"Klient: Hm, będę musiał sprawdzić opcje z góry.
TelCom Agent: Świetnie. I czy mogę przypomnieć, że jeśli korzystasz z naszej wersji próbnej lub oferty tutaj, możesz uaktualnić w dowolnym momencie za darmo.
Klient: Chcę uaktualnić.
TelCom Agent: W porządku, to świetnie. Skontaktuję się z Tobą, gdy uaktualnienie będzie gotowe.
TelCom Agent: Jak długo potrwa gotowa aktualizacja?
Klient: Och, zdecydowanie mniej niż jeden dzień.
Klient: Plan, który dostałem wcześniej, był dobry tylko przez półtorej godziny użytkowania."
41,yes,Nan
42,no,"Klient: Byłoby miło mieć jakieś dane.
Agent TelCom: Dobrze, czy możemy porozmawiać z tobą o umowie?
Klient: Nie, mam już roczną umowę z TelCom, więc nie potrzebuję nowej.
TelCom Agent: W porządku. Zakończyłeś pierwszą fazę procesu uaktualniania. Czy chcesz kontynuować pierwszą fazę?
Klient: Chciałbym przejść do następnej fazy.
Agent TelCom: Okej, możemy to zrobić. Następnym etapem jest uaktualnienie pakietów internetowych. Proszę nacisnąć jeden.
Klient: Nie,"
43,no,"Klient: Moim głównym powodem aktualizacji było to, że chciałbym wysłać SMS-a, ale także nie chciałbym mieć mojego numeru telefonu powiązanego z kontem Telcom.
TelCom Agent: Czy możesz podać mi szczegóły, w jaki sposób chcesz wprowadzić tę zmianę?
Klient: Chcę mieć zarówno głos, jak i tekst. Mam kilka numerów, które chciałbym usunąć.
TelCom Agent: Jakie to liczby?
Pytanie: Czy powiedziałeś, że chcesz mieć zarówno głos, jak i tekst na swoim koncie?
Klient: Tak, Yang Chen.
Agent TelCom: Jaki jest numer Yang Chena?
Klient: I"
44,no,"Klient: Niedawno uaktualniłem GPRS do 3G, ale nie otrzymałem żadnych połączeń telefonicznych ani wiadomości tekstowych.
Agent TelCom: Proszę poczekać chwilę, a ja sprawdzę moje dane. Czy możesz wrócić za chwilę, a my omówimy opcje aktualizacji.
Klient: Tak, proszę. Dziękuję.
Agent TelCom: Widzę, że otrzymałeś telefon z GPRS, możemy potwierdzić, że to twój modem, a za kilka minut przyjdę do ciebie technik i sprawdzę, czy to bez żadnych kosztów. Zajmie Ci to tylko kilka minut, a my"
45,no,"Klient: Chcę uaktualnić system do wersji głosowej.
TelCom Agent: Miło słyszeć, że nowa opcja głosowa jest już dostępna. O której godzinie chcesz dokonać aktualizacji?
Klient: Chciałbym dokonać aktualizacji o 7:30 rano.
Agent telekomunikacyjny: Musisz odebrać telefon i zobaczyć technika w swoim biurze. W piwnicy budynku znajduje się sklep, w którym znajduje się technik, który będzie mógł odebrać telefon.
Agent TelCom: Wspaniale. Technik wykona swoją instalację za kilka minut. Czy masz jakieś?"
46,no,"Klient: Chcę uaktualnić mój telefon do telefonu 4G LTE. Próbowałem skontaktować się z działem obsługi klienta, ale nikt do mnie nie oddzwoni.
Agent TelCom: OK Brenton, przepraszam, że nie mogę ci dzisiaj pomóc. Sugeruję skontaktowanie się z usługodawcą internetowym lub dostawcą usług telefonicznych w celu rozwiązania problemu. Proszę dać mi znać, kiedy zadzwonisz.
Klient: Dziękujemy! Wciąż szukam dokładnej odpowiedzi, ale TelCom wydaje się nie mieć problemu z moją sytuacją. Dam ci znać, kiedy to rozwiążę.
TelCom Agent: Dziękuję"
47,no,"Klient: Chciałbym uaktualnić moje istniejące połączenie głosowe do planu danych Vodafone 4G, a mój istniejący SMS do planu Vodafone 4G.
Agent TelCom: Miło słyszeć, że Vera. Jaki jest całkowity koszt uaktualnienia?
Klient: Około 40,00 USD na aktualizację moich usług głosowych, tekstowych i danych.
Agent TelCom: Miło słyszeć, że Vera. Jak długo potrwa uaktualnienie?
Klient: To zależy od wielu czynników. Będę musiał zarejestrować się i zaktualizować informacje o moim koncie dzisiaj, ale aktualizacja nie powinna potrwać dłużej niż 3-4 tygodnie.
"
48,yes,"Klient: Jestem studentem i mam w domu komputer i bezprzewodowy Internet. Ale to ciągle odpada.
Agent TelCom: Och, w porządku. Przykro mi to słyszeć, Aaron. Co jeszcze możesz mi powiedzieć, aby mi pomóc?
Klient: Korzystam z Internetu od jakiegoś czasu i pobieranie zajmuje dużo czasu.
Agent TelCom: Och, w porządku. Cóż, przepraszam Aarona. Postaram się uzyskać więcej informacji na temat tego problemu. Czy możesz nacisnąć 1, aby uzyskać pomoc, a następnie na następnym ekranie?
Klient: Jasne. Naciśnij 1!
TelCom Agent: Doskonale. Mogę"
49,no,"Klient: Mam problem z uaktualnieniem pakietu usług głosowych do komórkowej transmisji danych. Czy możesz mi pomóc?
Agent TelCom: Cześć Major, to jest zespół wsparcia tutaj w TelCom, który pomaga ci w problemach z pobieraniem i przesyłaniem. Jestem tutaj, aby pomóc Ci w aktualizacji. Powiem ci, że mamy jeden z najlepszych produktów na rynku i jeśli chcesz go uaktualnić, byłby to świetny pomysł. Czy możesz mi powiedzieć, ile czasu zajmie uaktualnienie do nowego pakietu?
Klient: Mam trzy różne numery telefonów w TelCom. Czy możesz dać mi jeden z nich jako kroplę?"
50,no,"Klient: Mam usługę głosową, chciałbym uaktualnić do usługi tekstowej, proszę, i chciałbym uaktualnić mój plan transmisji danych do droższego.
Agent TelCom: Okej, dobrze wiedzieć, że jesteś zadowolony z usługi. A co chcesz zobaczyć dalej w swoim planie serwisowym?
Klient: Cóż, nie wiem, czy chcesz umówić się na spotkanie, czy masz dzień, ale chciałbym uaktualnić mój plan danych do droższego planu.
Agent TelCom: Okej, to fajne. Zajmę się tym dla ciebie. Mieć"
51,no,"Klient: Chciałbym uaktualnić usługę głosową i tekstową, ponieważ jest dość szybka i nadal muszę używać telefonu, aby utworzyć numer. Chciałbym również uaktualnić do danych. Proszę dać mi znać, jaka jest standardowa oferta uaktualnienia i jaka będzie po uaktualnieniu.
Agent TelCom: Dziękuję Elfriede. Moja standardowa oferta uaktualnienia wynosi 15% zniżki na istniejącą usługę, a jeśli nie jesteś z tego zadowolony, możesz anulować usługę w dowolnym momencie.
Klient: Dziękuję. Chciałbym zapoznać się z innymi opcjami przed uaktualnieniem. Planuję zmienić mój"
52,no,"Klient: Tak, bardzo podoba mi się nieograniczona ilość danych.
TelCom Agent: Doskonale. Mam dla was paczkę w moim biurze. I potrzebuję tylko, abyście potwierdzili, że macie mobilny plan transmisji danych na koncie.
TelCom Agent: Czy powinienem omówić to jeszcze raz?
Agent TelCom: Tak, Samantha, jedyną rzeczą, która się różni, jest numer telefonu i sieć, w której się znajdujesz.
TelCom Agent: Czym jest mobilny plan transmisji danych?
Agent TelCom: Cóż, możesz mi powiedzieć, jaki typ mogę tu dostać lub odpisać.
Klient: W porządku.
"
53,no,"Klient: Cóż, jestem klientem TelCom od ponad 4 lat i uwielbiam tę usługę i stałą przepustowość, z którą miałem do czynienia, ale chcę przejść do TELCOM Voice. Mam nadzieję, że wkrótce się odezwiesz.
TelCom Agent: Dziękuję za rozmowę. Informacje, które zostały dostarczone, były takie, że chcesz uaktualnić usługę głosową do usługi danych. Miłego dnia.
Klient: Dziękuję bardzo. Będę szczęśliwy, że dokonam tej aktualizacji, abyśmy mogli być pionierami technologii. Mam nadzieję, że skupię się na technologii i że będę mógł z niej skorzystać"
54,yes,"Klient: Cóż, kupiłem internet przez TelCom i zostałem obciążony za czas i miesiąc miesiąca, w którym się zarejestrowałem, czyli 12/12/12, ale usługa nie działała.
Agent telekomunikacyjny: Więc chciałbyś odzyskać saldo?
Klient: Tak, proszę o zwrot salda.
Agent telekomunikacyjny: W porządku, więc proszę podać datę rozliczenia i zacząć od podania nam swojego imienia i nazwiska oraz numeru telefonu, abyśmy mogli przenieść saldo.
Klient: Cóż, Valentina. Kupiłem internet od TelCom około miesiąc temu i zostałem obciążony 04/02/03.
Tel"
55,no,"Klient: Wszystko, czego szukam, to opcja aktualizacji mojego telefonu.
Agent TelCom: Ok, czy klikniesz ten link, aby uaktualnić telefon, abym mógł ci pomóc?
Klient: Ok, przeczytaj ten plik PDF i wprowadź informacje. 0805 888 9071
Agent TelCom: Ok, James, i przykro mi, że muszę ci powiedzieć, że nie kwalifikujesz się do aktualizacji telefonu dzisiaj. Nie ma zniżki na odblokowanie telefonu.
Klient: Ok, jaka jest zniżka na odblokowanie mojego telefonu?
Agent TelCom: Nie mogę odblokować twojego telefonu, ponieważ został już aktywowany, a ty"
56,no,"Klient: Chciałbym zachować mój obecny plan i chciałbym uaktualnić do opcji aktualizacji głosu.
TelCom Agent: Świetnie, a jaki jest okres aktualizacji dla twojego obecnego planu?
Klient: 4 miesiące.
TelCom Agent: Och, są obecnie w trakcie aktualizacji. Więc masz 4 miesiące od momentu, w którym podejmą twój obecny plan, aby rozpocząć aktualizację?
Klient: Tak, dostanę aktualizację w ciągu najbliższych 4 miesięcy.
TelCom Agent: Świetnie, a ile to będzie kosztować?
Klient: Chciałbym zachować mój obecny plan na razie i chciałbym uaktualnić"
57,yes,"Klient: Hm... Mamy teraz problem z modemem, a prędkość wysyłania jest bardzo niska.
Agent TelCom: Och, okej, więc zaczynasz rozumieć, dlaczego mój kolega powiedział, że może nie chcesz teraz ryzykować zostania klientem TelCom?
Klient: Nie ma ryzyka. Nie pamiętam hasła.
Agent TelCom: Okej, czy mógłbyś przynajmniej podać mi swój numer ubezpieczenia społecznego?
Klient: Uh, jasne.
Agent telekomunikacyjny: Dobrze, masz jakieś inne pytania?
Klient: Nie. Po prostu jestem zmęczony płaceniem za tę usługę i jestem poza domem. Dziękować"
58,no,"Klient: Głos.
Agent TelCom: Tak. A od ilu lat masz obecny kontrakt?
Klient: Od jakiegoś czasu jestem na 30-miesięcznym kontrakcie.
TelCom Agent: Świetnie! Czy mogę zobaczyć aktualną umowę i jaka jest aktualna stawka?
Klient: To 3 lata, więc podstawowa cena opiera się na 10 USD miesięcznie za telefon plus wszelkie opłaty.
Agent TelCom: Świetna Hilda, nasze ceny są następujące.
4G: 29,95 USD
2G: 28,95 dolarów
1G: 26,95 USD
"
59,no,"Klient: Głos, dzięki czemu mogę uzyskać dostęp do mojego domofonu w domu
TelCom Agent: W porządku. Jak bardzo chcesz zmienić swój plan usług?
Klient: £19.99
TelCom Agent: Świetnie! Dziękujemy za opinię. To fantastyczne. Czy masz jakieś inne pytania, przepraszam.
Klient: Chciałbym się tylko upewnić, że różnica dotyczy tego samego głosu, tekstu lub danych?
TelCom Agent: Dziękujemy za skontaktowanie się z TelCom. Czy chcesz uaktualnić do BT Infinity lub Virgin Media?
Virgin Media: Zmień : dane
TelCom Agent: Pozwól, że sprawdzę w obsłudze klienta"
60,no,"Klient: Nie jestem pewien, który z nich uaktualnić.
TelCom Agent: Możesz wypróbować aktualizację głosową lub tekstową, a jeśli ci się spodoba, to wszystko, czego potrzebujemy. To wszystko?
Klient: Tak, to wszystko.
TelCom Agent: Świetnie. Za chwilę będziemy z Wami w naszym biurze agentów telekomunikacyjnych. Czy masz coś przeciwko, jeśli cię zapytam, czy jest coś, co muszę zrobić?
Klient: Możesz odpowiedzieć na każde pytanie, ale po prostu nie składaj obietnic, których nie możesz dotrzymać.
Agent TelCom: W porządku, tak, w porządku. Dziękuję"
61,no,"Klient: Jestem klientem TelCom od 3 lat. Korzystam z połączeń głosowych, wiadomości tekstowych i połączeń danych. Zamierzam uaktualnić produkt do obsługi danych.
TelCom Agent: Miło to słyszeć. Zacznę od przejrzenia listy opcji, z których możesz wybierać. Mogę Ci zacząć, sprawdzając górę strony.
Zobaczysz tam opcję połączenia danych. Opcja 3, Roaming danych, widzę, że dobrze to znasz.
Klient: Tak, znam to bardzo dobrze.
TelCom Agent: Pozwólcie, że przejdę przez kilka"
62,no,"Klient: Głos i tekst.
TelCom Agent: Świetnie. Czy możesz podać mi swoje aktualne informacje rozliczeniowe?
Klient: Hm, ok. Gdybyś mógł, musiałbym najpierw spojrzeć na moje konto.
Agent TelCom: W porządku. Cóż, mogę ci w tym pomóc, prawda?
Klient: Jasne.
Agent TelCom: Okej, ale potrzebuję twojego nazwiska i adresu.
Klient: W porządku. Proszę spojrzeć na moje konto, tak jak zrobiłeś to z moim numerem telefonu i adresem.
Agent TelCom: W porządku. Dziękuję za to. [Otwiera szufladę, aby"
