churn,chat_log,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
no,"Klient: Wszystkie trzy.
Agent TelCom: Możemy to zrobić. Jak ma pan na imię?
Klient: Marcia.
Agent TelCom: Dziękujemy Ci, Marcia, że znalazłaś czas, aby zadzwonić do nas dzisiaj. Jakie jest Pani nazwisko?
Klient: Smith.
Agent TelCom: Ok, bardzo dziękujemy Smithowi za poświęcenie czasu na rozmowę z nami dzisiaj. Cóż, nic nie możemy dzisiaj dla Ciebie zrobić. Wszystko zależy od tego, jak zareagujesz na prośbę o aktualizację. Z przykrością stwierdzam, że miałeś już do czynienia z naszym telefonem.",FL,120,area_code_415,no,no,0,180.0,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,7,1.27,3
no,,MT,69,area_code_510,no,yes,40,77.0,106,13.09,161.7,94,13.74,188.6,82,8.49,12.5,6,3.38,1
no,"Klient: Voice
Agent TelCom: Tu Irene, widzę, że aktualizacja dotyczy Voice. Czy może mi Pani podać swoje aktualne dane, adres e-mail i numer telefonu?
Klient: Moje aktualne dane to: Irene Smith
Agent TelCom: Dziękuję, Irene. Mogę potwierdzić, że aktualizacja do Voice została przeprowadzona pomyślnie. Chciałabym również przypomnieć, że jeśli chcesz rozwiązać umowę, możesz to zrobić w dowolnym momencie, kontaktując się z nami, a my rozwiążemy umowę za Ciebie.
Klient: Dziękuję za pomoc i za to, że byliście tak pomocni. Chciałabym również powiedzieć, że",NE,155,area_code_408,no,yes,21,195.9,91,33.3,213.9,84,18.18,88.2,111,3.97,8.6,4,2.32,0
no,"Klient: Próbuję uaktualnić obie usługi. Staram się o usługę głosową i tekstową, a druga opcja to transmisja danych.
Agent TelCom: To wspaniale. A co chciałby Pan zrobić?
Klient: Chcę korzystać z transmisji danych.
Agent TelCom: To świetnie. W jaki sposób chciałby Pan zapłacić za ten pakiet aktualizacji? Kartą kredytową czy debetową?
Klient: Chciałbym zapłacić kartą debetową.
Agent TelCom: Świetnie Natalie, w takim razie chciałbym wysłać fakturę i kopię rachunku za to uaktualnienie.
Klient: To świetnie",NE,80,area_code_415,no,no,0,127.8,67,21.73,181.6,112,15.44,197.3,63,8.88,15.9,2,4.29,2
no,"Klient: Planuję aktualizację do 4G LTE.
Agent TelCom: 4G LTE? Nie wiem, czy jest to dostępne w Pana okolicy, ale na pewno mogę zapewnić Panu 2G, które jest rozsądne w Pana sytuacji.
Klient: W porządku, wygląda na to, że będzie to kosztować 60 USD miesięcznie.
Agent TelCom: Cena jest prawidłowa. Po prostu damy Ci dodatkowy miesiąc i poinformujemy Cię, kiedy będzie dostępny. Mam na imię Micah. Czy mogę prosić o nazwisko i numer telefonu?
Klient: Mamy na imię Melva, właśnie nazwaliście mnie Mel.",MO,45,area_code_408,no,no,0,207.6,71,35.29,152.7,94,12.98,217.8,125,9.8,12.4,13,3.35,1
no,"Klient: Szukam planu, który obejmuje usługę głosową przez Internet.
Agent TelCom: Rozumiem, że chce Pan/Pani uaktualnić usługę TelCom. Proszę zapoznać się z poniższymi informacjami, a następnie będę mógł Panu/Pani pomóc.
Limity usług TelCom. TelCom nie udostępnia żadnych informacji na temat aktualnego poziomu usług. Wszystkie usługi głosowe TelCom podlegają zmiennym parametrom sieci i jakości głosu zgodnie z przepisami Federalnej Komisji Łączności (FCC). Usługi głosowe TelCom podlegają zaprogramowanym ograniczeniom, takim jak przekazywanie połączeń, limity stawek i limity danych, które mogą się różnić w zależności od dostawcy usług, dostawcy technologii i dostawcy usług.",AZ,157,area_code_415,no,no,0,220.7,105,37.52,119.3,127,10.14,165.1,113,7.43,11.5,7,3.11,4
no,"Klient: Voice.
Agent TelCom: To świetnie Martin. Ok, możemy zaczynać, więc czy chce Pan/Pani dokonać upgrade'u do nowej linii, czy po prostu odliczyć sobie rachunek za ostatni miesiąc.
Klient: W przypadku nowej linii będę ją nazywał moją linią TelCom.
Agent TelCom: Świetnie. Po uzyskaniu nowego numeru zadzwoń do mnie, a ja oddzwonię i podam Ci szczegóły. Teraz jest Pan połączony z TelComem i będę się z Panem kontaktował tak szybko, jak tylko będę mógł.
Klient: Dziękuję. Czy jest jakiś sposób, aby nowa linia została zainstalowana w innym miejscu lub po prostu",LA,95,area_code_415,no,no,0,141.1,84,23.99,211.4,108,17.97,103.7,127,4.67,5.9,6,1.59,3
no,"Klient: Muszę zmodernizować moją usługę telefoniczną i uważam, że obecna usługa, którą oferujecie, nie jest tym, czego potrzebuję.
Agent TelCom: Och, to bardzo miło z Twojej strony Retta. Czy możemy zacząć od uzyskania informacji o gwarancji?
Klient: Oczywiście. Jakie są moje dane gwarancyjne?
Agent TelCom: To bardzo miło z Twojej strony, że o to pytasz, Retta. Rozumiemy, że chciałbyś uzyskać pomoc dotyczącą Twojego telefonu, ale teraz musimy wiedzieć, gdzie go kupiłeś.
Klientka: Telefon kupiłem w sklepie Amazon w styczniu 2016 r.
Agent TelCom: Dobrze. Cóż, gwarancja",MS,130,area_code_510,no,yes,26,257.2,108,43.72,224.3,122,19.07,204.0,118,9.18,12.6,4,3.4,1
no,"Klient: Tak, zastanawiam się nad rozszerzeniem mojego konta do nielimitowanego.
Agent TelCom: Dobrze, więc czy może mi Pan podać numer telefonu do doradcy technicznego? DM w tej strefie numerycznej czy w innej?
Klient: Zastanawiam się również nad T1. Przeprowadzam się z Chattanoogi.
Agent TelCom: Dobrze, więc pozwól, że przeformułuję twoje pytanie. Kiedy się Pan przeprowadza i kiedy Pan przyjeżdża?
Klient: Przeprowadzam się w piątek, a przyjeżdżam w środę.
Agent TelCom: To trochę odwrotnie. Zależy to od tego, jak dużego ruchu się spodziewasz.",IN,58,area_code_415,no,yes,22,224.1,127,38.1,238.8,85,20.3,174.2,86,7.84,11.5,7,3.11,2
yes,"Klient: W mojej usłudze telefonicznej wystąpiła jakaś usterka, nie mogę skontaktować się z technikiem, chciałbym rozwiązać umowę. Jestem skłonny zapłacić duży zwrot pieniędzy, jeśli może mi pan pomóc.
Agent TelCom: Dobrze. Czy mogę zadać Panu kilka pytań?
Klient: Jasne, nie próbuję wywinąć się z umowy. Próbuję tylko dowiedzieć się, co się dzieje.
Agent TelCom: Dobrze. Czy może mi Pan przesłać kilka pierwszych dni logowania telefonu u swojego operatora?
Klient: Tak.
Agent TelCom: Dobrze. Czy mogę wziąć te logi i wykonać testowe połączenie na",VT,117,area_code_408,yes,no,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2
no,,NY,150,area_code_415,no,yes,35,139.6,72,23.73,332.8,170,28.29,213.8,105,9.62,8.8,2,2.38,2
no,,MD,79,area_code_415,no,yes,17,236.7,95,40.24,263.5,56,22.4,259.6,107,11.68,12.0,4,3.24,1
no,"Klient: Wszystkie. Jedyne, czego naprawdę potrzebuję, to uaktualnić telefon komórkowy.
Agent TelCom: To świetny pomysł. Tak, zobaczmy: Halo?
Klient: Witam. Dzisiaj przyszedłem do TelCom, rozmawiałem z kierownikiem i powiedziała mi, że moja umowa jest na rok, ale aktualizacja nie zostanie pokryta, ponieważ jest to moja szósta rocznica. Zrozumiałam, że muszą zapewnić pokrycie przez sześć lat, a kiedy już to zrobią, będziemy mogli przejść na inny rodzaj aktualizacji.
Agent TelCom: Od jak dawna ma Pan telefon?
Klient",AL,47,area_code_408,no,yes,28,141.3,94,24.02,168.0,108,14.28,113.5,84,5.11,7.8,2,2.11,1
no,"Klient: Wolałbym uaktualnić usługę głosową i tekstową o dodatkowe dane. Czy możecie ograniczyć klientom możliwość rozbudowy do transmisji danych?
Agent TelCom: Nie możemy tego zrobić. Rozszerzenie oferty o transmisję danych będzie możliwe, jeśli klient poda nam swój plan taryfowy na telefon komórkowy.
Klient: W porządku, nadal otrzymuję doskonałe usługi, a prędkość pobierania jest ogromna. Czy mogę prosić o podanie numeru telefonu, aby móc uaktualnić usługę?
Agent TelCom: Oczywiście, Kathy! Jestem tutaj z moim kierownikiem i poproszę go, aby skontaktował się z Panią i potwierdził, że może Pani dzisiaj uaktualnić usługę.
Klientka: Doskonale",ME,165,area_code_408,no,no,0,150.5,75,25.59,193.1,93,16.41,311.6,93,14.02,10.3,2,2.78,1
no,,TX,80,area_code_510,no,yes,22,196.4,115,33.39,150.3,109,12.78,176.2,75,7.93,9.3,1,2.51,0
yes,"Klient: Jestem takim samym facetem jak pan, mam domowy internet i żyję bez niego, ponieważ nie jestem w wojsku.
Agent TelCom: No dobrze, to nie jest dobrze. Czy mogę zapytać, co jest nie tak?
Klient: Twoja usługa telefoniczna przestaje działać w przypadkowych momentach i nie wiadomo, kiedy znowu zacznie działać. Chcę z Panem o tym porozmawiać.
Agent TelCom: Lori, proszę chwilę poczekać. Czy jest jakiś problem z usługą?
Klientka: Nie, nie mam żadnych problemów. Telefon po prostu przestał działać i obecnie używa",MO,92,area_code_415,no,no,0,154.0,122,26.18,329.8,88,28.03,288.0,117,12.96,5.6,2,1.51,3
no,"Klient: W przypadku połączeń głosowych mój obecny plan wynosi 3,00 za minutę do dowolnego miejsca w Kanadzie, w Edmonton otrzymuję 3,05. Również za SMS-y do dowolnego miejsca w Kanadzie płacę obecnie 24,00, a w Edmonton 25,00. Poprosiłem również o przeniesienie moich danych do jednego z dwóch operatorów. Próbowałem przenieść dane z Telus do Bell, ale oni nie chcą przenieść danych, więc muszę spróbować przenieść je z Telus do Bell. Próbowałem rozmawiać z biurem obsługi klienta firmy Bell, ale nie mają pojęcia, gdzie przenieść dane, więc utknąłem w martwym punkcie.",NV,102,area_code_415,no,no,0,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,0
no,"Klient: Podwyższenie stawki za połączenia głosowe i tekstowe będzie mnie kosztować 299 USD miesięcznie.
Agent TelCom: Dobrze, dobrze. Mamy jeszcze jedną ofertę, która będzie dla Pana lepsza, więc co chciałby Pan zrobić?
Klient: OK, chcę zmienić mój plan taryfowy na Internet za 20 USD miesięcznie...
Agent TelCom: W porządku, dobrze. A to jest ostatnia oferta na liście, więc co chciałby Pan/Pani zrobić?
Klient: Chcę zmodernizować mój modem do wersji Gigabit-Power.
Agent TelCom: Dobrze, dobrze. Mamy wielu klientów, którzy właśnie teraz dokonują modernizacji i",OH,84,area_code_408,no,no,0,159.5,125,27.12,247.1,90,21.0,187.9,82,8.46,7.2,4,1.94,2
no,,MI,136,area_code_415,no,yes,24,50.1,134,8.52,295.8,89,25.14,111.8,115,5.03,11.0,6,2.97,0
no,"Klient: Szukam czegoś, co mogę uzyskać za pośrednictwem TelCom, aby przyspieszyć przeglądanie stron internetowych, w tym poczty elektronicznej.
Agent TelCom: ...często się z tym spotykam. Cóż, mogę pomóc w tej sprawie. Będę musiał porozmawiać z moim przełożonym. Mogę przesłać Panu kilka opcji.
Klient: OK... Jeśli to nie przeszkadza, mam jedną zaliczkę.
Agent TelCom: Jedną zaliczkę?
Klient: Tak.
Agent TelCom: Jedna przedpłata. Czy może mi Pan przesłać swój aktualny numer telefonu?
Klient: Tak, mam go. Mogę go wysłać na adres",NM,81,area_code_415,no,no,0,173.2,80,29.44,236.2,94,20.08,240.2,84,10.81,11.8,6,3.19,2
no,,AR,116,area_code_415,no,yes,23,253.0,78,43.01,138.9,121,11.81,277.8,104,12.5,11.8,3,3.19,2
no,,WY,104,area_code_408,no,no,0,183.6,133,31.21,120.7,98,10.26,215.1,112,9.68,12.7,2,3.43,1
no,,HI,70,area_code_415,no,no,0,197.3,91,33.54,305.8,81,25.99,171.0,105,7.69,6.7,6,1.81,1
no,"Klient: Voice.
Agent TelCom: Wystarczy, że do nas zadzwonisz, a my zaproponujemy Ci pakiet modernizacyjny, który będzie odpowiadał Twoim potrzebom. Potrzebujemy tylko Twojego nazwiska, numeru usługi i adresu dostawy. Mamy również mały pakiet ofert promocyjnych, które są dostępne specjalnie dla Ciebie.
Klient: Świetnie, dziękuję za poświęcony czas.
Agent TelCom: Dziękujemy za wybranie TelCom.",MS,70,area_code_408,no,no,0,148.4,110,25.23,267.1,90,22.7,151.5,101,6.82,8.9,4,2.4,0
no,"Klient: Chciałbym uaktualnić funkcje, które otrzymuję obecnie. Nie mam pojęcia, jakie są nowe funkcje, z wyjątkiem T-Mobile 4G LTE. Próbowałem się dodzwonić i nikt nie odbiera telefonu. Nie chcę korzystać z funkcji roamingu, ponieważ usługi są okropne. Przeczytałem wszystkie opinie zamieszczone w Internecie i wszystkie są pozytywne. Korzystam z usługi T-Mobile 4G LTE od maja tego roku, ale do tej pory nie otrzymałem żadnych dodatkowych usług. Chciałam spróbować uaktualnić usługę do nowej wersji 4G LTE i próbowałam się dodzwonić, ale nikt nie odbierał telefonu.",NE,100,area_code_415,no,no,0,220.3,106,37.45,126.1,124,10.72,242.0,67,10.89,10.2,1,2.75,3
no,,WI,35,area_code_510,no,yes,27,241.7,87,41.09,142.0,101,12.07,288.9,68,13.0,9.4,4,2.54,1
no,,CT,116,area_code_415,no,no,0,245.9,73,41.8,240.1,87,20.41,158.7,89,7.14,8.9,5,2.4,3
no,,MS,59,area_code_408,no,yes,27,127.4,110,21.66,103.3,99,8.78,164.2,73,7.39,9.1,3,2.46,0
yes,,CO,92,area_code_415,no,no,0,184.7,60,31.4,262.0,73,22.27,239.5,120,10.78,12.3,6,3.32,2
no,,OH,65,area_code_510,no,no,0,153.9,117,26.16,220.1,122,18.71,280.5,147,12.62,8.5,3,2.3,2
no,"Klient: Przykro mi, ale nie mam dostępnego przycisku aktualizacji. Co mogę teraz zrobić, aby uaktualnić usługę?
Agent TelCom: Cóż, mam do Pana kilka pytań. Po pierwsze, czy ma Pan/Pani aktualny modem? Czy ma Pan/Pani modem z najnowszym oprogramowaniem sprzętowym? Jaką wersję modemu Pan posiada?
Klient: Cześć. Bardzo dziękuję za przybycie do mojego domu i wykonanie tej wspaniałej pracy. Od lat korzystam z usług TelCom i bardzo mi się podobają. Niestety, nie mam teraz możliwości wymiany modemu na nowy.
Agent TelCom:",MS,65,area_code_415,no,no,0,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,1
no,"Klient: Chciałbym dokonać aktualizacji do wersji BlackBerry Classic.
Agent TelCom: Przykro mi, ale to wszystko, co mogę dzisiaj dla Pana zrobić. Czy może Pan przejść do czegoś innego?
Klient: Nie, szukam kontraktu i skontaktowałem się już z kilkoma innymi posiadaczami kontraktów BlackBerry w waszej okolicy i zastanawiałem się, czy mógłbym się z nimi skontaktować, aby dowiedzieć się, jakie są ich doświadczenia.
Agent TelCom: Obawiam się, że nie można z nimi nagle rozmawiać o umowie, ponieważ umowa jest umową długoterminową i jeśli masz umowę już teraz, to nie jest to możliwe.",MN,122,area_code_415,no,no,0,140.1,120,23.82,231.4,128,19.67,188.1,127,8.46,11.2,5,3.02,2
no,"Klient: Jestem zadowolony z usług voice-over-IP i text-over-IP. Jestem zadowolony z transmisji danych.
Agent TelCom: Cóż, Ronaldzie, oto szybkie porównanie, które pomoże Ci podjąć decyzję. Aktualizacja oferty głosowej z 49,99 USD do 69,99 USD.
Ulepszenie usługi głosowej z 49,99 do 69,99 USD. Ulepszenie usługi tekstowej z 29,99 USD do 39,99 USD.
Ulepszenie jakości wiadomości tekstowych z 29,99 do 39,99 USD. Ulepszenie parametrów transmisji danych z 19,99 do 29,99 USD.
Aktualizacja poziomu transmisji danych z 19,99 do 29,99 USD. Dlaczego nie uaktualnić",VA,105,area_code_415,no,no,0,259.3,96,44.08,175.2,97,14.89,222.4,36,10.01,12.0,5,3.24,3
no,,WI,165,area_code_408,no,no,0,156.0,88,26.52,276.1,81,23.47,175.9,94,7.92,9.3,5,2.51,1
no,"Klient: Potrzebuję aktualizacji systemu głosowego John. Jestem niezależnym wykonawcą, moja firma używa technologii VoIP (Voice over Internet Protocol) i od dłuższego czasu korzystam z usług TelCom.
Agent TelCom: Tak, to prawda Martin, jaki jest twój numer telefonu?
Klient: 9301210145. Ładny i prosty.
Agent TelCom: Fantastycznie, więc cieszę się, że jesteś zadowolonym klientem. Przyjrzę się Państwa kontu i oddzwonię do Państwa tak szybko, jak to będzie możliwe.
Klient: Dziękuję za poświęcony czas i życzę powodzenia przy aktualizacji.
Agent TelCom",FL,64,area_code_408,no,yes,31,228.6,88,38.86,248.5,109,21.12,167.1,124,7.52,9.0,1,2.43,3
no,"Klient: Chciałbym uaktualnić moje dane.
Agent TelCom: Wygląda na to, że kupiłeś telefon, który nie obsługuje transmisji danych. Zauważyliśmy, że każdy telefon posiada mały plan taryfowy na transmisję danych oraz większy plan, z którego można korzystać, gdy dane nie są potrzebne. Jednym z dużych planów jest plan ""100mb"", który jest domyślnym planem oferowanym dla nowych telefonów. Plan 100 MB nie obsługuje danych. W ramach planu taryfowego na transmisję danych możesz korzystać z telefonu na każdej innej linii telefonicznej, do której możesz się podłączyć za pomocą modemu DSL lub kablowego. Z telefonu można korzystać w internecie tylko wtedy, gdy",GA,103,area_code_415,no,yes,28,121.0,105,20.57,270.4,100,22.98,160.5,76,7.22,7.7,4,2.08,2
no,"Klient: Mam Voice. Jak rozumiem, ceny usługi Voice są bardzo wysokie.
Agent TelCom: Jak pan widzi, cena jest wyższa niż ta, którą podałem. Czy przedłużenie obecnej umowy jest dla Pana opcją?
Klient: Nie.
Agent TelCom: Spokojnie. Czy nie cieszy się pan, że mnie pan zapytał? Jakieś pytania?
Klient: Nie, nie, nie, nie. Jestem zadowolony z usług głosowych, które mam, ale niestety będę musiał z nich zrezygnować i przejść do waszego konkurenta.
Agent TelCom: Dobrze, więc czy istnieje inna opcja, w której mogę Panu pomóc?",LA,108,area_code_510,no,yes,30,276.6,99,47.02,220.1,113,18.71,177.9,95,8.01,9.8,6,2.65,2
no,,SD,52,area_code_510,no,yes,20,133.3,63,22.66,184.1,123,15.65,272.9,107,12.28,13.5,2,3.65,1
no,,AL,116,area_code_408,no,no,0,133.8,88,22.75,177.1,103,15.05,185.2,106,8.33,12.4,4,3.35,2
no,,VA,34,area_code_415,no,no,0,151.0,102,25.67,131.4,101,11.17,186.6,86,8.4,9.9,7,2.67,0
yes,"Klient: Moja obsługa jest taka słaba! Prawie w ogóle nie odbieramy telefonów, a kiedy już odbieramy, nie mamy żadnej gwarancji, że uda nam się połączyć, więc to nie jest warte pieniędzy.
Agent TelCom: Cóż, umowę można wypowiedzieć w dowolnym momencie na każdym stanowisku TelCom. Obawiam się więc, że nie ma pan szczęścia i że zawarcie kolejnej umowy będzie pana sporo kosztować.
Klient: Och, już to zrobiłem! Proszę się nie martwić! Pójdę zadzwonić do BT i zobaczę, co mogę dla pana uzyskać.
Agent TelCom: To się nie uda, Sylwio. Nie dają 50p zniżki na połączenia z",DC,114,area_code_415,no,no,0,147.1,119,25.01,161.0,111,13.69,275.9,106,12.42,9.0,3,2.43,5
no,"Klient: Chciałbym przejść z usług głosowych na transmisję danych.
Agent TelCom: Dobrze, oczywiście, Mary. Czy chciałaby Pani, abym porozmawiał z Agentem TelCom?
Klientka: Mam na imię Nancy. Mój numer telefonu to 5553927908.
Agent TelCom: Nancy, to doskonały wybór. Zamierzam się z Tobą skontaktować, aby upewnić się, że otrzymam te informacje. Czy chce Pan, abym teraz zadzwonił do Pana żony Nancy?
Klient: Nie, ona wie, co robi. Po prostu powiedz jej, że chcę ulepszyć jakość mojego głosu i rozmów, chcę ulepszyć jakość moich danych.
Agent TelCom:",HI,17,area_code_408,no,no,0,168.5,102,28.65,297.2,130,25.26,244.7,117,11.01,8.8,6,2.38,3
no,"Klient: Zwykle korzystam z 2G, ale obecnie mam 4G. Mam plan taryfowy na 3 GB danych i chcę przejść na 4G.
Agent TelCom: Przykro mi Lorraine, ale maksymalny dostępny dla Ciebie limit to 3 GB. Do ilu GB danych chciałaby Pani podwyższyć swój plan?
Klient: 5 GB, proszę.
Agent TelCom: Dziękuję, Lorraine. Czy ma Pani/Pan jakiś sprzęt, który musi Pani/Pan nabyć?
Klientka: Tak, mój telefon.
Agent TelCom: Ma pan telefon?
Klient: Tak.",NC,127,area_code_415,no,yes,25,82.2,95,13.97,163.3,109,13.88,264.9,104,11.92,5.1,6,1.38,0
