churn,chat_log
yes,"Klient: Więc podpisałem nową umowę najmu w 2012 roku, ale nadal nie jestem zadowolony z tej usługi.Mój telefon domowy to Sony Ericsson i jestem zawieszony w Telcom od ponad miesiąca.To było absolutnie nieprzydatne.Czy masz cenę wymiany?
Agent Telcom: Sharon, czy uważasz, że możemy uzyskać aktualizację do stacjonarnego?
Klient: Tak, ponieważ nie chcę już chodzić do firmy telefonicznej.
Agent Telcom: Dziękuję Sharon.Możemy ci w tym pomóc.Jaki jest koszt wymiany stacjonarnej?
Klient: Nie wiem, nie jest jasne"
no,
no,"Klient: głos.
Agent Telcom: OK.Cześć Michael, ile masz lat?
Klient: 20.
Agent Telcom: OK, więc przejrzyj następujące pytania, a chętnie ci pomogę.Zaloguj się na mojej stronie internetowej i spójrz na swoje dane, ponieważ będzie to miejsce, w którym będziemy komunikować kolejne kroki.
Klient: OK.Używam Telcom od nieco ponad 1 rok, ale nigdy wcześniej nie słyszałem o ich problemach.
Agent Telcom: Przepraszam Michael, ale nie mogę ujawnić żadnych szczegółów w odniesieniu do klienta"
no,"Klient: Cóż, chodzi o głos……
Agent Telcom: O czym ty mówisz?
Klient: Cóż, chcę zaktualizować i uzyskać więcej danych o tym samym standardowym planie, co obecnie.Więc…
Agent Telcom: Ile danych masz obecnie na swoim planie?
Klient: Około 3 GB, lokalne i roaming?
Agent Telcom: OK.Czy chciałbyś aktywować nasze nowe plany głosowe i plan połączeń?
Klient: W porządku.
Agent Telcom: Telcom, jak się dzisiaj masz?
Klient: Jestem dobry.Chciałem tylko pozwolić"
no,"Klient: Wszystkie powyższe.
Agent Telcom: Tak, właśnie to zaoferowano mi.Po prostu sprawdzę, że otrzymałeś aktualizację, a jeśli tak, możesz usiąść i zrelaksować się.
Klient: Tak, otrzymałem aktualizację.
Agent Telcom: Czy jesteś zadowolony z nowej ceny?
Klient: Tak, jestem.Jestem zadowolony z nowej ceny.
Agent Telcom: Dobra kochanie, pozwól mi po prostu spojrzeć na ciebie z perspektywy.Dzięki umowie o aktualizacji oszczędzasz ponad trzy razy więcej pieniędzy rocznie.A jeśli chcesz dodać"
yes,"Klient: Cóż, myślę, że to ze szkółki.Miałem „ogromną” ilość połączeń, a obsługa klienta jest bardzo słaba.Wiem, że to biznes, ale wiesz, że to wygląda na to, że powinniście być w stanie dać mi lepsze wrażenia.
Agent Telcom: Och, przepraszam, nie, nie, bardzo przykro nam to słyszeć.Nie wiem jednak, czy mogę ci w tym pomóc.
Klient: Cóż, powiedziawszy, chciałbym anulować umowę.
Agent Telcom: Och, nie martw się.To bardzo dobrze słyszeć.Cieszę się, że lubisz naszą usługę i produkt.Ale już"
no,"Klient: Chciałbym aktualizować dane.
Agent Telcom: W porządku, to jest dobre.Czy będziesz mógł to ulepszyć?
Klient: Byłoby to tylko przez miesiąc.
Agent Telcom: Przykro mi, czy możesz podać mi kopię swojej bieżącej umowy, aby sprawdzić, czy uaktualniasz tę nową umowę?
Klient: Nie mogę.
Agent Telcom: Przepraszam, czy możesz mi podać kopię swojej obecnej umowy?
Klient: Tak, mogę.
Agent Telcom: W porządku, dzięki.Czy mogę prosić o kopię Twojej obecnej umowy?"
no,"Klient: Chciałbym zaktualizować pakiet głosowy i tekstowy i chciałbym mieć możliwość aktualizacji danych.
Agent Telcom: Cóż, mamy dziś wiele aktualizacji, a następujące są główne.W odniesieniu do głosu i tekstu skontaktowałbyś się z sobą.Jeśli chodzi o dane, obecnie oferujemy tylko opcję danych 3G.
Klient: Dobra, dziękuję bardzo.I ile czasu zajęłoby przetworzenie mojej aktualizacji?
Agent Telcom: Otrzymanie aktualizacji zajmuje tylko cztery dni, a jak wspomniałem wcześniej, w większości przypadków zajmuje to tylko cztery dni."
no,"Klient: Chciałbym zaktualizować usługi głosowe i tekstowe.
Agent Telcom: Świetnie, wygląda na to, że to dla Ciebie działało.Najpierw zalecamy zmianę usługi głosowej, a następnie uaktualnianie usługi telefonicznej.Mamy pełną linię telefonów Telcom i poziomu 3 oraz szereg różnych planów, które oferujemy, w tym brak kosztów wstępnej dla każdego nowego telefonu Telcom i poziomu 3.Tel-COM wprowadził również plan nowego działania o nazwie Tel-Com Signature, który oferuje ludziom możliwość natychmiastowej aktualizacji za nawet 10 USD miesięcznie, jeśli zdecydują się to zrobić.Sprawdź nasz Tel-Com"
no,"Klient: To głos i tekst.
Agent Telcom: Niesamowite, pozwól, że zadzwonię do naszego operatora sieci i skonfiguruj to dla Ciebie.Więc rezerwujesz aktualizację głosu?
Klient: Tak.
Agent Telcom: Nie możesz teraz przejść do operatora sieci, czy to w porządku?
Klient: Nie, w porządku.Czy chcesz zaplanować aktualizację głosu na kolejny dzień?
Agent Telcom: Nie, nie zamierzamy tego zaplanować na kolejny dzień, ok?W porządku, jak znowu masz na imię?
Klient: Michael.
Agent Telcom: Cześć Michael, to"
no,
yes,"Klient: Więc usługa była zbyt wolna, a opłaty miesięczne są szalone.Płacę 300 USD miesięcznie i zaledwie 40 GB.
Agent Telcom: Czy możesz mi powiedzieć, ile danych użyłeś w tym miesiącu?
Klient: Tak, w tym miesiącu użyłem, OH, 5 GB.
Agent Telcom: Dobra, dziękuję Joel.Teraz, jeśli przejdę dalej i anuluję twoją umowę, wyślę ci rabat.
Klient: OK.
Agent Telcom: A co byś teraz zrobił, gdybyś anulował umowę ”?
Klient: Myślę, że po prostu to poczekam.
Agent Telcom: Świetnie.Dobrze,"
no,
no,"Klient: Lubię pocztę głosową i tekst.
Agent Telcom: Doskonały.Czy to powód, dla którego szukałeś nowej umowy?
Klient: Myślę, że to po prostu zaczęło mi nerwy, nie mogąc z kimś rozmawiać, jeśli są poza domem.
Agent Telcom: Doskonały.Ponieważ żałujesz faktu, że nie możesz rozmawiać z prawdziwą osobą, dlaczego nie poprosisz jej, aby zadzwonił i zostawił dla ciebie wiadomość?
Klient: Tak, to świetnie.Dziękuję.Sprawdzę to.
Agent Telcom: Doskonały.Jeśli chcesz skorzystać"
no,
no,"Klient: Och, mogę przejść na tekst, chciałbym.
Agent Telcom: Spróbuj ponownie później.
Klient: OK, mogę przejść na tekst.Muszę wiedzieć, ile mojego ... czy mogę zmienić prędkość, którą używam na 8,1 kb / s?
Agent Telcom: Tak, zrób to Stanley.
Agent Telcom: Istnieje opłata aktywacyjna w wysokości 10 USD, jeśli nie wyślesz wiadomości tekstowej.
Klient: Nie mam problemów z 10,5 kb / s, to 20 USD miesięcznie.
Agent Telcom: Stanley, czy mogę zapytać, co jest"
no,
no,"Klient: Chciałbym uaktualnić najszybszą usługę za najwięcej pieniędzy i chciałbym uaktualnić głos i uaktualnienie tekstu, za które mogę zapłacić za pomocą TRS.
Agent Telcom: Świetnie!Jakieś wskazówki dla mnie, aby ci pomóc?
Klient: Tak, chcę tylko, żebyś zaczął od poinformowania mnie, co muszę zrobić, aby zaktualizować moją usługę.Mam wezwanie alarmowe 911 dla mojego właściciela, a także na ratunkowy lekarz nie odbierający telefonu.Muszę więc utrzymywać obie te liczby aktywne i dostępne.Chciałbym również otrzymać połączenie alarmowe 911 za pośrednictwem Telcom i SMS -ów.Wiem, że to nie"
no,
no,"Klient: Patrzę na aktualizację mojej usługi do wielu urządzeń.
Agent Telcom: Czy możesz mi powiedzieć, do czego chciałbyś zaktualizować?
Klient: Chciałbym uaktualnić wszystkie urządzenia.
Agent Telcom: wszystkie urządzenia co?
Klient: Poprzedni dostawca miał to jedno urządzenie i miał wiele funkcji i kosztowałoby mnie znacznie więcej.Szukałem lepszej jakości urządzenia i ten był ten, którego szukałem.
Agent Telcom: Czy możesz mi teraz powiedzieć, na które jedno urządzenie patrzysz?
Klient: Patrzę na Verizon Wireless"
no,"Klient: głos
Agent Telcom: Świetnie, więc teraz musimy przejść przez ten proces.Co chciałbyś zrobić najpierw?
Klient: Uaktualnij miesięczny pakiet i dodaj do niego 60 USD
Agent Telcom: Dziękuję Essie.A co chciałbyś zrobić?
Klient: głos + tekst + dane
Agent Telcom: OK, więc mamy to objęte.Co chciałeś zrobić dalej?
Klient: Odprowadź moje konto Telcom, abym mógł wrócić do mojego starego konta Telcom z tym samym numerem telefonu
Agent Telcom: Dziękuję ess"
no,"Klient: Moje dwie opcje to głos i tekst.
Agent Telcom: Rzeczywiście mogę to zrobić.Jaki jest koszt?
Klient: 5,73 EUR miesięcznie + VAT (lub około 6,12 USD) miesięcznie + 100 € opłata instalacyjna.
Agent Telcom: Jak to brzmi.Z przyjemnością pomogę ci dalej.
Klient: I to wszystko, co muszę wiedzieć.Dziękuję bardzo od Telcom i mam nadzieję, że usłyszę od ciebie w przyszłości.
Agent Telcom: Śmiało i zadzwoń pod mój numer.Po prostu podaj mi swoje imię, numer telefonu i"
no,"Klient: Czy możesz mi powiedzieć 16 cyfr mojego numeru telefonu?
Agent Telcom: 16 cyfr proszę, teraz jest to konto tylko głosowe.
Klient: A jak mogę uzyskać modem?A może wolisz kartę dostępu do Internetu?
Agent Telcom: Modem jest teraz dostępny dla Twojego domu, opłatę za modem w umowie wynoszą 40 USD miesięcznie.
Klient: Dziękuję bardzo, Ernestine.Rozumiem, że jest to numer telefonu tylko głosu, ale czy byłbyś w stanie zaktualizować go do konta tekstowego i danych?
Agent Telcom: Przepraszam.Nie ma korzyści"
yes,"Klient: Podobało mi się usługa od kilku miesięcy, ale wydaje mi się, że nie mogę dotrzeć do ludzi tam.Jest poniedziałek rano i mam dziś rozmawiać przez telefon z specjalistą, ale wszystko, co mogę przejść, to ruchliwy sygnał.Próbowałem zadzwonić do nich, zostawiając wiadomości i wiadomości tutaj i tutaj, ale w ogóle nie mogę się przejść.Próbowałem zadzwonić do nich z własnego telefonu i dzwonić do nich z telefonu komórkowego, ale sygnał jest również bardzo zły i nie mogę przejść do ich numeru.Ludzie, którzy tam pracują, są bardzo mili, są mili i właściwie są trochę pomocni, ale kiedy je odwiedzam"
no,
no,"Klient: Chciałbym uaktualnić do planu danych 100 MB w stosunku do aktualnego planu danych 50 MB.
Agent Telcom: Jak chciałbyś zapłacić za te dodatkowe dane?
Klient: Chciałbym zapłacić kartą kredytową.
Agent Telcom: masz swoją kartę debetową w torebce?
Klient: Tak, odłożyłem to w naszej torebce tutaj.
Agent Telcom: W porządku, widzę to.To jest karta debetowa, czy to prawda?
Klient: Tak, tak.
Agent Telcom: Czy jest jeszcze coś, w czym mogę ci dziś pomóc?"
no,
no,"Klient: głos i tekst.
Agent Telcom: Świetnie!Więc w oparciu o informacje, które obecnie mam w dzienniku, jaka jest bezpłatna stawka tekstowa w Twojej okolicy?
Klient: Nie pamiętam.Czy to jest absolutne?
Agent Telcom: Tak, to teraz absolutna, jest teraz za darmo.
Klient: OK.Nie zdawałem sobie sprawy, że to taka prosta rzecz do zrobienia.Mam teraz duży numer.
Agent Telcom: Świetnie.Dziękuję Michelle.Jesteś na Telcom i możesz zostawić wiadomość z Twoim imieniem.
Klient: Nie, dziękuję,"
no,"Klient: Używam T-Mobile od 4 lat i mam ten sam telefon od 4 lat.Więc szukam telefonu, który jest trochę potężniejszy.
Agent Telcom: Dobra wiadomość.Mam dla ciebie kilka opcji.Mogę uaktualnić Twój telefon do T-Mobile, który mam teraz w drodze kontraktu za dodatkowym kosztem 15 USD za pierwszą linię.Czy możesz iść naprzód i naciśnij przycisk „1” na telefonie?
Klient: Tak, to by to zrobiło.Dziękuję Ci bardzo.Zastanawiam się również nad modernizacją mojej linii"
no,"Klient: Nie muszę zaktualizować mojej umowy.Chcę tylko zaktualizować mój telefon.
Agent Telcom: Świetnie.Więc mogę zacząć od szybkiego sprawdzania twojego konta.Tak więc rok jest w 2006 roku. Masz rachunek za 28,00 USD miesięczny.Twój pierwszy rachunek to 89,00 $.Dlatego chcę szybko spojrzeć na twoje konto.
Klient: 28,00 USD za Internet i 89,00 USD za telefon.
Agent Telcom: Och, wow!Dobra.A gdzie chciałbyś wysłać fakturę?
Klient: Mam to"
no,"Klient: Um, będę musiał sprawdzić opcje z góry.
Agent Telcom: Świetnie.I czy mogę przypomnieć, że jeśli jesteś na naszej próbie lub ofercie tutaj, możesz zaktualizować w dowolnym momencie za darmo.
Klient: Chciałbym zaktualizować.
Agent Telcom: W porządku, to świetnie.Skontaktuję się z Tobą, kiedy Twoja aktualizacja będzie gotowa.
Agent Telcom: Jak długo potrwa aktualizacja?
Klient: Och, zdecydowanie mniej niż jeden dzień.
Klient: Plan, który dostałem wcześniej, był dobry przez półtorej godziny użytkowania."
yes,
no,"Klient: Byłoby miło mieć dane.
Agent Telcom: OK, czy możemy z tobą porozmawiać o umowie?
Klient: Nie, mam już roczną umowę z Telcom, więc nie potrzebuję nowego.
Agent Telcom: Dobra, w porządku.Mieszkaj z pierwszą fazą procesu aktualizacji.Czy chciałbyś kontynuować pierwszą fazę?
Klient: Chciałbym kontynuować następną fazę.
Agent Telcom: OK, możemy to zrobić.Następnym fazą jest ulepszenie pakietów internetowych.Proszę nacisnąć jeden.
Numer klienta,"
no,"Klient: Moim głównym powodem aktualizacji było to, że chciałbym SMS -a, ale też nie chciałbym mieć mojego numeru telefonu związanego z kontem Telcom.
Agent Telcom: Czy możesz podać mi szczegóły dotyczące tego, jak chcesz dokonać tej zmiany?
Klient: Chcę mieć zarówno głos, jak i tekst.Mam kilka liczb, które chciałbym usunąć.
Agent Telcom: Jakie są te liczby?
Pytanie: Czy powiedziałeś, że chciałeś zarówno głosu, jak i tekstu na swoim koncie?
Klient: Tak, Yang Chen.
Agent Telcom: Jaki jest numer Yang Chena?
Klient:"
no,"Klient: Niedawno zaktualizowałem z GPR do 3G, ale nie otrzymałem żadnych połączeń telefonicznych ani wiadomości tekstowych.
Agent Telcom: Proszę, trzymaj się chwilę, kiedy sprawdzam moje rekordy.Czy możesz wrócić trochę i możemy omówić opcje aktualizacji.
Klient: Tak, proszę.Dziękuję Ci.
Agent Telcom: Widzę, że otrzymałeś telefon od GPRS, możemy potwierdzić, że to twój modem i będę miał technika za kilka minut i sprawdź to bez żadnych kosztów.Zajmie to tylko kilka minut, a my będziemy"
no,"Klient: Chciałbym uaktualnić głos.
Agent Telcom: Cieszę się, że nowa opcja głosu jest dziś dostępna dla Ciebie.O której chcesz dokonać aktualizacji?
Klient: Chciałbym dokonać aktualizacji o 7:30.
Agent Telcom: Musisz odebrać telefon i zobaczyć technika w swoim biurze.W piwnicy budynku znajduje się sklep, który ma technika, który będzie mógł odebrać Twój telefon.
Agent Telcom: Wspaniale.Technik dokona instalacji za kilka minut.Czy masz jakieś"
no,"Klient: Chciałbym zaktualizować telefon do telefonu 4G LTE.Próbowałem skontaktować się z informacjami o obsługi klienta, ale nikt mnie nie oddzwonił.
Agent Telcom: Ok Brenton, przepraszam, że nie mogę ci dzisiaj pomóc.Sugeruję skontaktowanie się z dostawcą usług internetowych lub dostawcy usług telefonicznych, aby rozwiązać problem.Daj mi znać, kiedy dzwonisz.
Klient: Dziękuję!Nadal szukam dokładnej odpowiedzi, ale Telcom wydaje się nie mieć problemu z moją sytuacją.Dam ci znać, kiedy to rozwiązuję.
Agent Telcom: Dziękuję"
no,"Klient: Chciałbym zaktualizować mój istniejący telefon do planu danych Vodafone 4G i mojego istniejącego SMS -ów do planu Vodafone 4G.
Agent Telcom: Cieszę się, że Vera.Jaki jest całkowity koszt aktualizacji?
Klient: Około 40,00 USD za aktualizację mojego głosu, tekstu i usług danych.
Agent Telcom: Cieszę się, że Vera.Jak długo potrwa aktualizacja?
Klient: To zależy od wielu czynników.Będę musiał dziś zarejestrować i zaktualizować informacje o koncie, ale aktualizacja powinna zająć nie więcej niż 3-4 tygodnie."
yes,"Klient: Jestem studentem i mam w domu komputer i bezprzewodowy Internet.Ale po prostu odpada.
Agent Telcom: Och, dobrze.Przykro mi to słyszeć, że Aaron.Co jeszcze możesz mi powiedzieć, żeby mi pomóc?
Klient: Używam Internetu już od jakiegoś czasu i dużo czasu zajmuje dużo czasu.
Agent Telcom: Och, dobrze.Cóż, przepraszam Aaron.Spróbuję uzyskać więcej informacji na temat tego problemu.Czy możesz nacisnąć 1, aby uzyskać pomoc na następnym ekranie?
Klient: Jasne.Naciśnij 1!
Agent Telcom: Doskonały.mogę"
no,"Klient: Mam problem z aktualizacją pakietu głosowego do danych mobilnych.Możesz mi pomóc?
Agent Telcom: Cześć Major, to zespół wsparcia tutaj w Telcom, który pomaga ci w pobieraniu i przesyłaniu problemów.Jestem tutaj, aby pomóc Ci w ulepszeniu.Powiem wam, że mamy jeden z najlepszych produktów na rynku, a jeśli chcesz, aby to byłby świetny pomysł.Czy możesz mi powiedzieć, ile czasu zajmie uaktualnienie do nowego pakietu?
Klient: Mam trzy różne numery telefonów z Telcom.Czy możesz dać mi jeden z nich jako kroplę"
no,"Klient: Mam usługę głosową, chciałbym uaktualnić do usługi tekstowej, proszę i chciałbym zaktualizować mój plan danych do droższego.
Agent Telcom: Dobra, dobrze wiedzieć, że jesteś zadowolony z usługi.A co chcesz zobaczyć w swoim planie serwisowym?
Klient: Cóż, nie wiem, czy chcesz umówić się na spotkanie, czy masz dzień, ale chciałbym zaktualizować mój plan danych do droższego planu.
Agent Telcom: OK, to fajne.Zajmę się tym za ciebie.Posiadać"
no,"Klient: Chciałbym zaktualizować usługę głosową i tekstową, ponieważ jest dość szybka i nadal muszę użyć telefonu, aby zrobić numer.Chciałbym również uaktualnić dane.Daj mi znać, jaka jest Twoja standardowa oferta ulepszenia i jakie będzie podczas aktualizacji.
Agent Telcom: Dziękuję Elfriede.Moja standardowa oferta aktualizacji wynosi 15% zniżki na twoją istniejącą usługę, a jeśli nie jesteś zadowolony, że możesz anulować usługę w dowolnym momencie.
Klient: Dziękuję.Chciałbym zbadać wszelkie inne opcje, zanim uaktualnię.Planuję przejść od mojego"
no,"Klient: Tak, naprawdę podoba mi się nieograniczone dane.
Agent Telcom: Doskonały.Mam dla was paczkę w moim biurze.Potrzebuję tylko tego, aby potwierdzić, że masz mobilny plan danych na koncie.
Agent Telcom: Czy powinienem to dla ciebie ponownie przejść?
Agent Telcom: Tak Samantha, jedyną inną rzeczą jest numer telefonu i sieć, w której jesteś.
Agent Telcom: Jaki jest mobilny plan danych?
Agent Telcom: Cóż, możesz mi powiedzieć, jaki typ mogę tu dostać lub napisać do mnie z powrotem.
Klient: W porządku."
no,"Klient: Cóż, jestem klientem Telcom od ponad 4 lat i uwielbiałem tę usługę i ciągłą przepustowość, z którą miałem do czynienia, ale chcę przeprowadzić się do głosu Telcom.Mam nadzieję, że wkrótce się odezwiesz.
Agent Telcom: Dzięki za telefon.Podane informacje brzmiały, że chcesz uaktualnić z usługi głosowej do usługi danych.Miłego dnia.
Klient: Dziękuję bardzo.Z przyjemnością wykonam tę aktualizację, abyśmy mogli być pionierami technologicznymi.Mam nadzieję, że skupiam się na technologii i że mogę wykorzystać"
yes,"Klient: Cóż, kupiłem Internet za pośrednictwem Telcom i zarejestrowałem się na rozliczanie czasu i miesiąca, który wynosił 12/12/12, ale usługa nie działała.
Agent Telcom: Więc chciałbyś zwrócić saldo?
Klient: Tak, chciałbym zwrócić saldo.
Agent Telcom: OK, więc proszę wskazać datę rozliczeń i zacznij od podania nam imienia i numeru telefonu, abyśmy mogli wyprowadzić saldo.
Klient: Cóż, Valentina.Kupiłem swój Internet od Telcom około miesiąc temu i otrzymałem rozliczenie 04/02/03.
Teren"
no,"Klient: Wszystko, czego szukam, to opcja uaktualnienia mojego telefonu.
Agent Telcom: OK, czy klikniesz ten link, aby zaktualizować swój telefon, abym mógł ci pomóc?
Klient: OK, przeczytaj ten PDF i wprowadź informacje.0805 888 9071
Agent Telcom: OK James i przepraszam, że muszę ci powiedzieć, że nie uprawniasz dziś zaktualizowania telefonu.Nie ma dostępnej rabatu na odblokowanie telefonu.
Klient: OK, jaka jest zniżka na odblokowanie mojego telefonu?
Agent Telcom: Nie mogę odblokować twojego telefonu, ponieważ został już aktywowany, a ty"
no,"Klient: Chciałbym zachować mój obecny plan i chciałbym uaktualnić opcję aktualizacji głosu.
Agent Telcom: Świetnie i jaki jest okres aktualizacji twojego obecnego planu?
Klient: 4 miesiące.
Agent Telcom: Och, są obecnie w trakcie aktualizacji.Więc masz 4 miesiące od czasu, gdy przyjmują twój obecny plan, aby rozpocząć aktualizację?
Klient: Tak, dostanę aktualizację w ciągu najbliższych 4 miesięcy.
Agent Telcom: Świetnie, a ile to będzie kosztować?
Klient: Chciałbym na razie zachować mój obecny plan i chciałbym uaktualnić"
yes,"Klient: Um… mamy teraz problem z modemem, a prędkość przesyłania jest bardzo powolna.
Agent Telcom: OK, więc zaczynasz rozumieć, dlaczego mój kolega powiedział, że może nie chcesz ryzykować, że zostanie teraz klientem Telcom?
Klient: Nie ma ryzyka.Nie pamiętam hasła.
Agent Telcom: OK, czy możesz przynajmniej podać mi swój numer ubezpieczenia społecznego?
Klient: Uh, jasne.
Agent Telcom: OK, czy masz jakieś inne pytania?
Klient: Nie. Po prostu mam dość płacenia za tę usługę i nie mam.Dziękować"
no,"Klient: głos.
Agent Telcom: Tak.A ile lat miałeś swoją obecną umowę?
Klient: Od jakiegoś czasu jestem w umowie o 30 miesięcy.
Agent Telcom: Świetnie!Czy mogę zobaczyć twoją obecną umowę i jaka jest obecna stawka?
Klient: To 3 lata, więc podstawowa cena oparta na 10 USD miesięcznie za telefon plus wszelkie opłaty.
Agent Telcom: Świetna Hilda, nasze stawki są następujące.
4G: 29,95 USD
2G: 28,95 USD
1G: 26,95 USD"
no,"Klient: głos, abym mógł uzyskać dostęp do mojego systemu domofonu w domu
Agent Telcom: W porządku.Ile chciałbyś zmienić swój plan usług?
Klient: 19,99 £
Agent Telcom: Świetnie!Dziękujemy za twoją opinię.To fantastycznie.Czy masz jakieś inne pytania przepraszam.
Klient: Chciałbym tylko upewnić się, że różnica dotyczy tego samego głosu, tekstu lub danych?
Agent Telcom: Dziękujemy za skontaktowanie się z Telcom.Czy chcesz uaktualnić do BT Infinity lub Virgin Media?
Virgin Media: Zmiana: dane
Agent Telcom: pozwól mi sprawdzić obsługę klienta"
no,"Klient: Nie jestem pewien, który uaktualnij.
Agent Telcom: Możesz wypróbować aktualizację głosu lub tekstu, a jeśli ci się podoba, to wszystko, czego potrzebujemy.Więc to jest to?
Klient: Tak, to wszystko.
Agent Telcom: Świetnie.Więc będziemy z tobą w naszym biurze agentów Telcom za chwilę.Czy masz coś przeciwko, jeśli cię zapytam, czy jest coś, co muszę zrobić?
Klient: Możesz odpowiedzieć na każde pytanie, które lubisz, ale po prostu nie składaj obietnic, których nie możesz zachować.
Agent Telcom: W porządku, tak, w porządku.Dziękuję Ci"
no,"Klient: Jestem klientem Telcom od 3 lat.Używam połączeń głosowych, wiadomości tekstowych i wywoływania danych.Zamierzam zaktualizować produkt wywołujący dane.
Agent Telcom: Cieszę się, że to słyszę.Zacznę od przeglądania listy opcji, z których możesz wybierać.Mogę zacząć od sprawdzania góry strony.
Widzisz tam opcję wywoływania danych.Opcja 3, roaming danych, widzę, że bardzo się z tym znasz.
Klient: Tak, bardzo to znam.
Agent Telcom: Teraz przejdę przez kilka"
no,"Klient: głos i tekst.
Agent Telcom: Świetnie.Czy możesz podać mi aktualne informacje o rozliczeniu?
Klient: Um, ok.Gdybyś mógł po prostu, najpierw musiałbym spojrzeć na moje konto.
Agent Telcom: OK.Cóż, mogę ci w tym pomóc, prawda?
Klient: Jasne.
Agent Telcom: OK, ale potrzebuję twojego nazwiska i adresu.
Klient: OK.Spójrz na moje konto tak, jakbyś to zrobił z moim numerem telefonu i adresem.
Agent Telcom: OK.Dziękuję za to.[Otwiera szufladę"
no,"Klient: Widzę, że masz teraz opcję danych, więc będę aktualizować do danych.
Agent Telcom: Dobrze.Jaki jest twój obecny plan na całym świecie?
Klient: Mam plan międzynarodowy.
Agent Telcom: Więc jesteś z tego zadowolony?
Klient: Tak, jestem na studiach i nie mam dużo pieniędzy, więc muszę wykorzystać moje dane w jak największym stopniu.Chcę uzyskać więcej danych i wiem, że mogę je uzyskać online.
Agent Telcom: Wygląda na to, że jest o wiele więcej z planem danych niż pomyślałeś.I obawiam się, że nie powinno być żadnych"
no,"Klient: Nadal szukam odpowiedniej oferty.Więc moje potrzeby byłyby następujące:
Szukam telefonu, który może odbierać zarówno połączenia, jak i SMS -y.Szukam najniższych miesięcznych płatności.Szukam najwyższej prędkości dostępnej dla najniższej miesięcznej płatności.Szukam planu danych 4G o wartości 120 USD.Jestem zainteresowany przejściem do subsydiowanego planu serwisowego LTE, który kosztowałby mniej niż 30 USD miesięcznie w porównaniu z moim obecnym planem danych 4G (zameldowany).
Chciałbym zapytać, czy jest to cena bez negocjacji.Jeśli tak, proszę wskazać, który"
