churn,chat_log,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
no,"Klient: Chciałbym zaktualizować głos i tekst.
Agent Telcom: Bardzo dobra Wirginia, co powiesz na dodanie dodatkowego składu lub dodanie modemu?
Klient: obniżka?
Agent Telcom: Tak, dla głosu i tekstu Virginia.Daj mi znać, czy możesz dać mi znać dzień aktualizacji.Pomocne byłoby dla mnie wiedzieć, kiedy planujesz zadzwonić, a ja mogę dostarczyć ci numery.
Klient: Jasne!Jak długo zwykle zajmujesz?
Agent Telcom: Zwykle zajmujemy 15 dni.
Klient: Świetnie i możesz mi powiedzieć",OH,43,area_code_510,no,yes,39,188.3,108,32.01,167.6,116,14.25,189.9,92,8.55,15.6,5,4.21,1
no,"Klient: Chcę uaktualnić swój głos do 4.9Mbit, który jest najwyższym planem głosowym, jaki mogę obecnie uzyskać.W rezultacie aktualizuję swój telefon do Telcom 200 - czyli to 4,9 Mbit Plan głosowy.Chciałbym również zaktualizować mój plan tekstowy do nieograniczonego tekstu, a także planu internetowego 1 GB.
Agent Telcom: Świetnie!Więc jeśli uda mi się zdobyć nowy plan, będę mógł kierować twoje połączenie do planu 4.9Mbit za pomocą automatycznego dialera.Czy mogę to teraz zrobić",WA,166,area_code_408,no,no,0,274.3,110,46.63,52.9,109,4.5,246.1,119,11.07,10.9,5,2.94,0
no,"Klient: głos, tekst i dane.Jestem bardzo zadowolony z szybkości otrzymanej usługi.Myślę, że będę mógł teraz uaktualnić do głosu i SMS -a i po tym chciałbym uaktualnić do danych, ale jestem bardzo zadowolony z szybkości otrzymanej usługi internetowej.
Agent Telcom: Cieszę się, że Marion.Jak myślisz, jak długo zajmie uaktualnienie Twojej usługi?
Klient: Poczekam na twoją dokładną odpowiedź.
Agent Telcom: Cóż, wrócę do ciebie za pięć minut.
Klient: OK, bardzo dziękuję.
Agent Telcom:",OR,49,area_code_510,no,no,0,119.4,69,20.3,273.3,92,23.23,214.4,153,9.65,12.4,7,3.35,2
no,,MI,63,area_code_510,no,no,0,185.3,87,31.5,225.3,87,19.15,194.3,93,8.74,11.7,3,3.16,0
yes,"Klient: Cóż, zastanawiałem się, czy masz jakieś inne ... czy masz jakieś inne telefony?
Agent Telcom: O tak, oczywiście, mamy pełną gamę telefonów.
Klient: Okej, myślę, że mam kilka telefonów w mojej torbie, które chciałbym zobaczyć, czy może możesz zdobyć kilka do oceny, może je przetestować.
Agent Telcom: OK, potrzebujesz testowania elektroniki?
Klient: O tak, tak.
Agent Telcom: Świetnie, postaramy się zdobyć kilka naszych telefonów wysłanych tutaj.
Klient: Dobra, świetnie!I czy mogę mieć numer telefonu lub",CT,160,area_code_415,no,no,0,234.9,136,39.93,270.8,134,23.02,219.3,101,9.87,13.9,2,3.75,1
no,,OK,149,area_code_408,no,no,0,187.6,83,31.89,201.4,81,17.12,264.2,79,11.89,8.8,1,2.38,1
no,"Klient: Chciałbym uaktualnić komponent tekstowy i chętnie zapłaciłby dodatkowe 25 USD miesięcznie za usługi VOIP.
Agent Telcom: Świetnie.Cóż, jaki byłby najlepszy czas na ulepszenie?
Klient: Chciałbym ulepszyć umowę w ten weekend.Czy byłbyś w stanie pomieścić moją prośbę?
Agent Telcom: Tak oczywiście będę mógł ulepszyć umowę w ten weekend.Czy możesz dać mi znać, kiedy i gdzie nastąpi twoje ulepszenie?
Klient: Świetnie.Jeśli dokonasz aktualizacji w czwartek",ME,193,area_code_415,no,yes,31,71.2,58,12.1,124.7,105,10.6,155.5,108,7.0,11.7,3,3.16,0
no,,OH,162,area_code_415,no,no,0,135.2,98,22.98,242.0,107,20.57,246.9,96,11.11,10.2,2,2.75,2
no,"Klient: Wybrałem dane tekstowe.
Agent Telcom: W porządku, dziękuję, wyślę Ci nowy kod, aby kontynuować aktualizację.Jeśli potrzebujesz pomocy, daj mi znać, a zrobię z siebie wszystko.
Klient: Zdecydowanie będę z tobą kontynuować, dziękuję.
Agent Telcom: Nie martw się Rosamond, po prostu daj mi znać, kiedy coś potrzebujesz.
Agent Telcom: Dziękujemy za zadzwonienie do Telcom.Czy proszę, da mi chwilę na zweryfikowanie swoich informacji.
Agent Telcom: Dziękuję.Zeke!Jesteś",IL,67,area_code_415,no,no,0,109.1,117,18.55,217.4,124,18.48,188.4,141,8.48,12.8,6,3.46,0
no,,ME,108,area_code_510,no,no,0,246.2,102,41.85,202.4,134,17.2,180.1,95,8.1,9.4,5,2.54,1
no,"Klient: Wszystkie trzy.
Agent Telcom: Dzięki za telefon.A teraz nie widzę w tej chwili żadnych innych dostępnych opcji.Przepraszam, ale myślę, że musimy powstrzymać naszą rozmowę tutaj.I wygląda na to, że możemy nie być w stanie już kontynuować tego konta, ponieważ otrzymaliśmy skargę dotyczącą płatności za to konto.",KY,14,area_code_415,no,no,0,184.5,77,31.37,272.5,103,23.16,190.3,129,8.56,9.7,3,2.62,4
no,"Klient: Jestem pewien, że chciałbym ulepszyć głos.
Agent Telcom: Czy możesz podać mi krótki opis swojego problemu?
Klient: Muszę być w stanie wykonywać rozmowy wideo na moim telefonie.Jestem na Verizon i mogę wykonywać połączenia wideo, jednak nie mogę rozmawiać na moim telefonie.Próbowałem wielu połączeń w ciągu ostatnich 30 dni i zdałem sobie sprawę, że moja jakość połączeń głosowych nie jest tak dobra, jak powinna.
Agent Telcom: Dziękuję za pomoc.Mam na imię Sara.Pójdę dziś i skonfiguruję coś dla ciebie.Możemy wykonać rozmowę wideo",CO,80,area_code_415,no,no,0,194.8,116,33.12,209.9,93,17.84,194.1,100,8.73,12.8,3,3.46,0
yes,"Klient: Jest jakiś usterk z moją usługą telefoniczną, której nie mogę zdobyć technika, chciałbym rozwiązać umowę.Jestem gotów zapłacić duży zwrot pieniędzy, jeśli możesz mi pomóc.
Agent Telcom: OK.Czy mogę po prostu zadać ci kilka pytań?
Klient: Jasne, nie próbuję wyjść z umowy.Próbuję dowiedzieć się, co się dzieje.
Agent Telcom: OK.Czy jest jakiś sposób, abyś mógł wysłać mi kilka pierwszych dni dzienników telefonicznych swojego dostawcy?
Klient: Tak.
Agent Telcom: OK.Czy mogę wziąć te dzienniki i wykonać połączenie testowe",VT,117,area_code_408,yes,no,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2
no,,WI,116,area_code_415,no,yes,35,200.4,104,34.07,272.8,89,23.19,214.5,100,9.65,8.3,4,2.24,1
no,"Klient: Tak, po uaktualnieniu linii głosowej do stacjonarnego.Chcę przejść z 220 do 441.
Agent Telcom: OK Robert, będziemy musieli skontaktować się z naszym zespołem komunikacyjnym, aby sprawdzić, czy możemy uaktualnić tę usługę.
Klient: Dziękuję.",NE,154,area_code_415,no,no,0,191.4,93,32.54,205.4,119,17.46,205.7,121,9.26,10.2,3,2.75,3
no,,MI,126,area_code_415,yes,yes,26,129.3,123,21.98,176.5,114,15.0,154.5,102,6.95,9.6,7,2.59,1
yes,"Klient: Więc usługa nie była świetna.To bardzo zła jakość i jestem bardzo nieszczęśliwy.I muszę zakończyć usługę.Dlaczego nie powiesz mi, na czym polega problem?
Agent Telcom: Cóż, przykro mi, że słyszę to Andrea.Czy mogę zapytać, jaki jest problem?
Klient: Moje informacje są teraz ode mnie gromadzone przez usługę Telcom.I bardzo się martwię, że to się ze mną dzieje.I to nie jest coś, co chcę się wydarzyć.Byłbym wdzięczny za anulowanie mojego konta i możemy omówić nową umowę.
Agent Telcom: Cóż, to bardzo miłe z twojej strony.I Ty jesteś",KS,105,area_code_415,yes,no,0,273.9,119,46.56,278.6,103,23.68,255.3,90,11.49,10.9,7,2.94,1
no,"Klient: Chciałbym uaktualnić do usługi głosowej.
Agent Telcom: Świetnie.A do czego chciałbyś zostać zaktualizowany?
Klient: Chcę tylko być w stanie odbierać wiadomości tekstowe.
(Technik telekomunikacyjny przerywa i wyjaśnia, że następnego dnia wyśle kogoś do twojego domu, aby rozpocząć instalację linii telefonicznej i sprzętu głosowego. Będzie także zainstalował monitor ekranu na twoich drzwiach i będzie zainstalował nowy telefon ze wszystkimiNowe funkcje włączone.)
Klient: Chciałbym porozmawiać z kimś na temat aktualizacji linii telefonu i zainstalowania telefonu.(Klient chciał porozmawiać",FL,85,area_code_408,no,yes,33,207.9,95,35.34,233.5,88,19.85,221.3,92,9.96,13.5,3,3.65,1
yes,"Klient: Moja żona i ja jesteśmy razem od trzech lat i mieliśmy problemy z naszą umową, zauważyłem, że w ciągu dnia działa dobrze, ale w nocy nie działa.
Agent Telcom: Cóż, wielu naszych klientów spodziewa się korzystania z telefonów w ruchu, a jako klient jestem ciekawy, czy możesz zobaczyć inne powody, dla których tak się dzieje?
Klient: Cóż, to nie tylko ja Joe, to moja żona i dzwonimy do siebie, a my rozmawiamy przez telefon, a my mamy konto e -mail i po prostu próbujemy dowiedzieć się, co się dzieje, pomyślałem o",OK,101,area_code_408,no,no,0,89.7,118,15.25,260.1,79,22.11,170.1,93,7.65,13.5,11,3.65,5
no,"Klient: Dziękuję.Chciałbym zaktualizować do planu wiadomości tekstowych o 1000 na Nowy Rok.A mój numer telefonu to 6848776903.
Agent Telcom: Więc dobrze rozumiesz swój plan?
Klient: Tak, więc myślę, że byłbym w stanie obniżyć SMS -y za mniejszą miesięczną cenę.
Agent Telcom: Dziękuję bardzo Marion.I to będzie 10,35 USD miesięcznie niż to, co jest teraz.A teraz moje następne pytanie.Zobaczę, czy uda mi się uzyskać kolejne 1000 planów tekstowych.
Klient: Ty",WV,159,area_code_415,no,no,0,169.8,114,28.87,197.7,105,16.8,193.7,82,8.72,11.6,4,3.13,1
yes,"Klient: Cóż, ostatnio miałem problemy z moim Internetem.Jestem z tym naprawdę bardzo źle i używam go tylko przez kilka minut na raz.To też jest trochę powolne.Więc myślę, że może po prostu anuluję umowę.
Agent Telcom: OK.Jaki jest twój powód do tego?
Klient: Cóż, nie mogę w ogóle korzystać z tej usługi, ponieważ jest ona naprawdę powolna.Więc myślę, że może, jeśli anuluję umowę i po prostu użyję go w losowych momentach, otrzymam lepszą obsługę.
Agent Telcom: OK.Dziękuję Ci.Po prostu postawię tutaj numer, do którego możesz zadzwonić",TX,104,area_code_415,no,no,0,261.2,81,44.4,209.1,130,17.77,281.1,121,12.65,11.3,1,3.05,2
no,"Klient: Chciałbym zaktualizować tekst i dane.
Agent Telcom: Absolutnie, naprawdę nie masz wyboru w tej sprawie i obawiam się, że twój obecny kontrakt na to nie pozwala.Czy mogę omówić szczegóły Twojej obecnej umowy z Tobą i wyjaśnić, czy i jak możemy Ci pomóc?
Klient: Nie chcę marnować czasu.Zaraz wrócę, dzięki.Do widzenia.
Agent Telcom: Jak powiedziałem wcześniej, przepraszam, ale w tej chwili nie mogę zrobić nic innego, więc możesz po prostu kliknąć poniższy link, aby podążać za mną do naszego centrum obsługi klienta.
Teren",VA,141,area_code_415,no,no,0,260.2,131,44.23,179.2,120,15.23,135.0,119,6.08,7.2,8,1.94,3
no,"Klient: Zasadniczo wszystko.
Agent Telcom: OK, teraz muszę wziąć Twoje imię i nazwisko i adres i umieścić pudełko obecnie pod pudełkiem - „Przekazywanie” - przeczytaj pole.Czy masz jakieś pytania?
Klient: Nie, rozumiem to wszystko.Chciałbym natychmiast zaktualizować.
Agent Telcom: Dobrze.W tej chwili nowa stawka, którą oferujemy, wynosi 98 USD miesięcznie dla wszystkich usług przez 300 minut, nieograniczone teksty i dane 3 GB.
Klient: Dobrze.Jaki jest dla mnie najlepszy plan?
Agent Telcom: Wygląda na to, że istnieją dwa różne plany",GA,155,area_code_510,no,no,0,71.2,90,12.1,304.4,119,25.87,183.3,103,8.25,8.6,4,2.32,0
